,Network,Random
0,49.998,41.93966666666667
1,50.00066666666667,41.78666666666667
2,49.980333333333334,41.865
3,49.99466666666667,41.933
4,50.001,41.86966666666667
5,49.998,41.869
6,49.99733333333333,41.76833333333333
7,49.74933333333333,41.86033333333334
8,49.997,41.952666666666666
9,49.99633333333333,41.94266666666667
10,49.99666666666667,41.955666666666666
11,49.995666666666665,41.89533333333333
12,49.997,41.91866666666667
13,49.997,41.78966666666667
14,49.99766666666667,41.928000000000004
15,50.001333333333335,41.864333333333335
16,49.99433333333333,41.846000000000004
17,49.99633333333333,41.81
18,49.977333333333334,41.87733333333333
19,49.99666666666667,41.86233333333333
20,49.998,41.840333333333334
21,49.98433333333333,41.84433333333333
22,50.00066666666667,41.876666666666665
23,49.99733333333333,41.882333333333335
24,49.915,41.864333333333335
